date,price
2026-05-08,4525.0
2026-05-07,4525.0
2026-05-06,4565.0
2026-05-04,4580.0
2026-04-30,4555.0
2026-04-29,4525.0
2026-04-28,4500.0
2026-04-27,4525.0
2026-04-24,4550.0
2026-04-23,4535.0
2026-04-22,4575.0
2026-04-21,4520.0
2026-04-20,4480.0
2026-04-17,4445.0
2026-04-16,4485.0
2026-04-15,4475.0
2026-04-14,4465.0
2026-04-13,4565.0
2026-04-10,4575.0
2026-04-09,4637.5
2026-04-08,4615.0
2026-04-07,4742.5
2026-04-06,4755.0
2026-04-02,4735.0
2026-04-01,4705.0
2026-03-31,4635.0
2026-03-30,4675.0
2026-03-27,4555.0
2026-03-26,4525.0
2026-03-25,4470.0
2026-03-24,4510.0
2026-03-19,4560.0
2026-03-18,4485.0
2026-03-17,4525.0
2026-03-16,4575.0
2026-03-13,4495.0
2026-03-12,4480.0
2026-03-11,4410.0
2026-03-10,4355.0
2026-03-09,4475.0
2026-03-06,4255.0
2026-03-05,4135.0
2026-03-04,4085.0
2026-03-03,4075.0
2026-03-02,4080.0
2026-02-27,4015.0
2026-02-26,4010.0
2026-02-25,4040.0
2026-02-24,4045.0
2026-02-23,4060.0
2026-02-20,4080.0
2026-02-19,4087.5
2026-02-16,4015.0
2026-02-13,4005.0
2026-02-12,4030.0
2026-02-11,4060.0
2026-02-10,4085.0
2026-02-09,4115.0
2026-02-06,4100.0
2026-02-05,4150.0
2026-02-04,4160.0
2026-02-03,4160.0
2026-01-30,4180.0
2026-01-29,4220.0
2026-01-28,4180.0
2026-01-27,4175.0
2026-01-26,4160.0
2026-01-23,4120.0
2026-01-22,4135.0
2026-01-21,4105.0
2026-01-20,4070.0
2026-01-19,4030.0
2026-01-16,4030.0
2026-01-15,3980.0
2026-01-14,4010.0
2026-01-13,4015.0
2026-01-12,4040.0
2026-01-09,4005.0
2026-01-08,3995.0
2026-01-07,3985.0
2026-01-06,3970.0
2026-01-05,3975.0
2026-01-02,3975.0
2025-12-31,4015.0
2025-12-30,4035.0
2025-12-29,4035.0
2025-12-24,4005.0
2025-12-23,4005.0
2025-12-22,3990.0
2025-12-19,3935.0
2025-12-18,3973.0
2025-12-17,3970.0
2025-12-16,3970.0
2025-12-15,4010.0
2025-12-12,4010.0
2025-12-11,4055.0
2025-12-10,4025.0
2025-12-09,4065.0
2025-12-08,4065.0
2025-12-05,4115.0
2025-12-04,4090.0
2025-12-03,4115.0
2025-12-02,4110.0
2025-12-01,4090.0
2025-11-28,4050.0
2025-11-27,4050.0
2025-11-26,4015.0
2025-11-25,3995.0
2025-11-24,4060.0
2025-11-21,4065.0
2025-11-20,4120.0
2025-11-19,4180.0
2025-11-18,4170.0
2025-11-17,4115.0
2025-11-14,4080.0
2025-11-13,4065.0
2025-11-12,4060.0
2025-11-11,4120.0
2025-11-10,4110.0
2025-11-07,4095.0
2025-11-06,4130.0
2025-11-05,4115.0
2025-11-04,4135.0
2025-11-03,4120.0
2025-10-31,4220.0
2025-10-30,4250.0
2025-10-29,4240.0
2025-10-28,4315.0
2025-10-27,4360.0
2025-10-24,4400.0
2025-10-23,4422.5
2025-10-22,4315.0
2025-10-21,4455.0
2025-10-17,4425.0
2025-10-16,4420.0
2025-10-15,4425.0
2025-10-14,4405.0
2025-10-13,4445.0
2025-10-10,4490.0
2025-10-09,4510.0
2025-10-08,4470.0
2025-10-07,4420.0
2025-10-06,4395.0
2025-10-03,4405.0
2025-10-02,4405.0
2025-10-01,4360.0
2025-09-30,4315.0
2025-09-29,4345.0
2025-09-26,4350.0
2025-09-25,4385.0
2025-09-24,4345.0
2025-09-23,4320.0
2025-09-22,4390.0
2025-09-19,4375.0
2025-09-18,4380.0
2025-09-17,4420.0
2025-09-12,4405.0
2025-09-11,4415.0
2025-09-10,4365.0
2025-09-09,4415.0
2025-09-08,4408.0
2025-09-04,4385.0
2025-09-03,4385.0
2025-09-02,4405.0
2025-08-29,4340.0
2025-08-28,4390.0
2025-08-27,4415.0
2025-08-26,4395.0
